status	label	forms
map	coastal management	coastal management ; gestion du littoral
map	coastal regions	coastal regions ; coastal region ; régions côtières ; coastal regions
map	coastal wetlands	coastal wetlands ; wetlands and coastal ; zones humides côtières ; coastal wetlands
map	coastal zone	coastal zone ; coastal zones ; zone côtière ; coastal zone
map	cold tolerance	cold tolerance ; tolérance au froid
map	colonization	colonization ; colonisation
map	community change	community change ; community changes ; change community ; communities change ; changes in the community ; changes in community ; change communities ; changement de la communauté ; community change
map	concentration pathways	concentration pathways ; concentration pathway ; voies de concentration ; concentration pathways
map	conservation strategies	conservation strategies ; conservation strategy ; strategy for the conservation ; strategies for the conservation ; stratégies de conservation ; conservation strategies
map	contamination	contamination
map	continental shelf	continental shelf ; plate-forme continentale
map	copepods	copepods ; Copepods ; copépodes ; copepods
map	coral cover	coral cover ; couverture corallienne
map	Coral reefs	Coral reefs ; coral reefs ; reef corals ; coral reef ; reef coral ; reefs both coral ; corals ; coral ; récifs coralliens ; Coral reefs
map	coral species	coral species ; species of coral ; espèces de corail ; coral species
map	crop	crop ; crops ; Crop ; récolte ; crop
map	crop growth	crop growth ; croissance des cultures
map	crop models	crop models ; crop model ; Crop models ; model crop ; modèles de culture ; crop models
map	crop production	crop production ; Crop production ; production of crops ; crops production ; production of these crops ; production of crop ; production of each crop ; production agricole ; agricultural production
map	crop yields	crop yields ; crop yield ; Crop yield ; Crop yields ; yields of crops ; yields for any crops ; yield of the crop ; yield of crop ; rendements des cultures ; crop yields
map	cyanobacteria	cyanobacteria ; cyanobactéries
map	data series	data series ; series data ; séries de données ; data series
map	decision making	decision making ; prise de décision
map	decision support	decision support ; support of decision ; aide à la décision ; decision support
map	decision support system	decision support system ; decision support systems ; système d'aide à la décision ; decision support system
map	decision-making processes	decision-making processes ; decision-making process ; processes of decision-making ; processes and decision-making ; processus décisionnels ; decision-making processes
map	decomposition rates	decomposition rates ; decomposition rate ; rates of decomposition ; rate of decomposition ; taux de décomposition ; decomposition rates
map	deforestation	deforestation ; déforestation
map	desertification	desertification ; désertification
map	dinoflagellate	dinoflagellate ; dinoflagellates ; Dinoflagellate ; dinoflagellés ; dinoflagellate
map	disaster risk	disaster risk ; Disaster risk ; disaster risks ; risques de catastrophe ; disaster risk
map	disturbance regimes	disturbance regimes ; disturbance regime ; régimes de perturbation ; disturbance regimes
map	dominant species	dominant species ; espèces dominantes
map	downscaling	downscaling
map	downscaling model	downscaling model ; downscaling models ; model for downscaling ; model downscaling ; models in downscaling ; modèle de réduction d'échelle ; downscaling model
map	drinking water	drinking water ; eau potable
map	drought periods	drought periods ; drought period ; periods of drought ; drought during periods ; period of drought ; périodes de sécheresse ; drought periods
map	drought risk	drought risk ; drought risks ; risk of drought ; risk for drought ; risque de sécheresse ; drought risk
map	drought severity	drought severity ; Drought severity ; severity of drought ; severity of droughts ; drought of the severity ; sévérité de la sécheresse ; drought severity
map	drought stress	drought stress ; Drought stress ; stress dû à la sécheresse ; drought stress
map	drought tolerance	drought tolerance ; tolérance à la sécheresse
map	early warning	early warning ; alerte précoce
map	Earth system	Earth system ; Earth systems ; earth system ; système de la Terre ; Earth system
